Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.735,0.8,0.8285714285714286,0.8140350877192982,0.7751190476190476
Logistic Regression,0.685,0.8347826086956521,0.6857142857142857,0.7529411764705882,0.7569047619047619
Decision Tree,0.61,0.7924528301886793,0.6,0.6829268292682927,0.604047619047619
